null;43,44,45,46,47,48,49,50;name:Twilio NA Inbound CarrierGroup,type:FLT_CARRIER
null;1,2,3,4,5,6,7,8,9,10,11;name:Skyetel CarrierGroup,type:FLT_CARRIER
null;12,13;name:Flowroute CarrierGroup,type:FLT_CARRIER
null;14,15,16,17,18,19;name:Voxbone CarrierGroup,type:FLT_CARRIER
null;20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35;name:VoIP Innovations Inbound CarrierGroup,type:FLT_CARRIER
null;36,37,38,39;name:VoIP Innovations Outbound Conversational CarrierGroup,type:FLT_CARRIER
null;40;name:Thinq CarrierGroup,type:FLT_CARRIER
null;41;name:Voxtelesys CarrierGroup,type:FLT_CARRIER
null;42;name:Les.net CarrierGroup,type:FLT_CARRIER
null;51,52,53;name:ThinkTel CarrierGroup,type:FLT_CARRIER
